,DeviceUser_id,Channel_id,Session_start,Session_end,Duration
233105,5f92f0c45d81740017964903,59f9c0dfbc95750d006b98f5,2021-01-09 16:17:39.549000+00:00,2021-01-09 16:17:39.549000+00:00,0.0
233201,5f92f0c45d81740017964903,59f9c0dfbc95750d006b98f5,2021-01-09 16:17:57.943000+00:00,2021-01-09 16:17:57.943000+00:00,0.0
277016,5f92f0c45d81740017964903,59f9c0dfbc95750d006b98f5,2021-01-09 17:57:32.825000+00:00,2021-01-09 17:57:32.825000+00:00,0.0
290184,5f92f0c45d81740017964903,59f9c0dfbc95750d006b98f5,2021-01-09 18:34:44.343000+00:00,2021-01-09 18:34:44.343000+00:00,0.0
295428,5f92f0c45d81740017964903,59f9c0dfbc95750d006b98f5,2021-01-09 18:49:37.222000+00:00,2021-01-09 18:49:37.222000+00:00,0.0
108537,5f92f0fc5d817400179664df,59f9c0dfbc95750d006b98f5,2021-01-09 10:10:51.122000+00:00,2021-01-09 10:10:51.122000+00:00,0.0
113883,5f92f0fc5d817400179664df,59f9c0dfbc95750d006b98f5,2021-01-09 10:37:31.272000+00:00,2021-01-09 10:37:31.272000+00:00,0.0
114039,5f92f0fc5d817400179664df,59f9c0dfbc95750d006b98f5,2021-01-09 10:38:20.990000+00:00,2021-01-09 10:38:20.990000+00:00,0.0
197972,5f92f0fc5d817400179664df,59f9c0dfbc95750d006b98f5,2021-01-09 14:56:30.306000+00:00,2021-01-09 14:56:30.306000+00:00,0.0
209980,5f92f0fc5d817400179664df,59f9c0dfbc95750d006b98f5,2021-01-09 15:20:29.343000+00:00,2021-01-09 15:20:29.343000+00:00,0.0
223944,5f92f0fc5d817400179664df,59f9c0dfbc95750d006b98f5,2021-01-09 15:48:06.310000+00:00,2021-01-09 15:48:06.310000+00:00,0.0
23766,5f92f1015d81740017966718,59f9c0dfbc95750d006b98f5,2021-01-09 02:03:50.687000+00:00,2021-01-09 02:03:50.687000+00:00,0.0
36986,5f92f1015d81740017966718,59f9c0dfbc95750d006b98f5,2021-01-09 03:43:28.625000+00:00,2021-01-09 03:43:28.625000+00:00,0.0
